지점,지점명,일시,최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,2020-12-17,5.6,320,1149,3.7,290,1151,1.7,1478,20
108,서울,2020-12-18,9.9,340,2030,5.4,320,2034,3,2566,50
108,서울,2020-12-19,9.3,320,1413,5.1,290,1422,2.4,2067,270
108,서울,2020-12-20,7.6,320,1302,4.4,290,1303,2,1734,270
108,서울,2020-12-21,6.7,340,1347,3.7,250,1444,1.6,1415,20
108,서울,2020-12-22,9.3,250,1500,4.7,270,1326,2,1735,20
108,서울,2020-12-23,9.1,230,1537,5.1,230,1527,2.3,2005,50
108,서울,2020-12-24,11.7,290,1321,6.5,290,1311,2.9,2546,270
108,서울,2020-12-25,9.1,270,1407,4.7,290,1456,2.1,1791,250
108,서울,2020-12-26,6.7,250,1417,3.9,270,1422,1.8,1575,20
108,서울,2020-12-27,5,70,1429,2.8,50,833,1.8,1569,70
108,서울,2020-12-28,5.9,270,1840,3.1,290,1738,1.4,1226,50
108,서울,2020-12-29,10.2,290,2034,6.1,320,2046,2.9,2464,270
108,서울,2020-12-30,10.6,290,1021,6.2,270,34,4.1,3529,270
108,서울,2020-12-31,7.4,320,1406,4.2,250,1452,2.4,2105,270
