지점,지점명,일시,최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,2020-03-22,10.2,320,1455,5.6,320,1248,3,2590,290
108,서울,2020-03-23,9.6,320,1544,4.8,270,1641,1.9,1642,270
108,서울,2020-03-24,7,290,1656,4,200,1254,1.8,1551,270
108,서울,2020-03-25,8.3,290,1547,5.3,320,1632,1.9,1610,290
108,서울,2020-03-26,7.3,180,1743,5.3,160,1746,1.9,1655,70
108,서울,2020-03-27,10.3,250,1624,5.8,320,1129,3.3,2843,290
108,서울,2020-03-28,10.1,360,558,5.5,340,641,3.2,2757,360
108,서울,2020-03-29,7.4,270,1638,4.6,290,1729,2,1733,290
108,서울,2020-03-30,6.8,290,1340,4.1,270,1801,1.8,1560,270
108,서울,2020-03-31,7.4,340,1403,4.4,290,1521,2,1709,270
108,서울,2020-04-01,11.9,290,1520,7.3,270,1437,3.7,3227,290
108,서울,2020-04-02,9.8,270,1502,5.5,270,1533,2.3,1985,250
108,서울,2020-04-03,9.4,290,1611,5.7,270,1628,2.7,2303,270
108,서울,2020-04-04,12.8,270,1650,6.3,290,1657,3.4,2970,290
108,서울,2020-04-05,9.7,200,1638,5.4,230,1629,2.8,2380,270
108,서울,2020-04-06,10.2,250,1508,5.9,270,1516,2.4,2116,290
108,서울,2020-04-07,8.4,200,1639,5.1,270,1524,2.5,2123,270
108,서울,2020-04-08,11.2,340,1214,5.9,340,1124,3.5,2999,290
108,서울,2020-04-09,10.2,250,1529,5.7,250,1707,2.8,2381,270
108,서울,2020-04-10,7.5,290,1557,4.1,290,1619,2.4,2103,290
108,서울,2020-04-11,8.6,230,1444,4.9,270,1804,2.5,2118,290
108,서울,2020-04-12,13.4,70,1326,7.4,90,1333,3.8,3273,90
108,서울,2020-04-13,9.8,90,1244,5.5,50,1536,3.1,2676,70
108,서울,2020-04-14,10,250,1437,5.3,270,1501,2.4,2035,290
108,서울,2020-04-15,9.2,290,1528,5.6,290,1645,2.2,1920,290
108,서울,2020-04-16,8,320,1753,4.5,320,1800,2.3,1989,90
108,서울,2020-04-17,9.4,160,820,4.8,140,828,2.4,2085,110
108,서울,2020-04-18,8,290,1636,4.8,270,1656,2.6,2252,320
108,서울,2020-04-19,8.6,70,2044,5.2,90,2037,2.7,2300,90
108,서울,2020-04-20,14.2,270,1626,6.8,270,1621,3.3,2885,250
108,서울,2020-04-21,17,230,1435,8.9,290,1739,4.4,3798,290
108,서울,2020-04-22,12.5,290,1145,6.4,290,1325,4,3451,290
108,서울,2020-04-23,12.9,320,1223,7.9,250,1535,3.7,3232,290
108,서울,2020-04-24,16,250,1303,8.2,270,1303,3.9,3342,270
108,서울,2020-04-25,15,230,1050,7.8,250,1050,3.9,3339,250
108,서울,2020-04-26,10.8,290,1730,6.5,290,1714,3.2,2776,290
108,서울,2020-04-27,11.2,270,1620,5.5,290,1541,2.8,2422,320
108,서울,2020-04-28,10,250,1456,5.5,230,1204,3,2579,250
108,서울,2020-04-29,8.6,290,1349,5.2,320,1412,2.6,2205,290
108,서울,2020-04-30,10,230,2236,5.9,290,1517,2.7,2352,250
108,서울,2020-05-01,9.9,290,1752,5.5,290,1726,2.7,2328,270
108,서울,2020-05-02,7.6,290,1437,4.6,230,111,2.3,1985,290
108,서울,2020-05-03,7.2,140,1224,3.9,160,1242,2,1705,90
108,서울,2020-05-04,8.7,270,1317,4.6,270,1247,2.7,2310,290
108,서울,2020-05-05,8.8,230,1346,5.3,250,1354,1.9,1601,290
108,서울,2020-05-06,8,20,1538,4.4,320,1623,2.1,1850,70
108,서울,2020-05-07,9.5,140,930,4.3,90,319,2.5,2167,90
108,서울,2020-05-08,7.9,290,1529,4.5,290,1514,2.4,2109,160
108,서울,2020-05-09,11,90,333,5.9,90,615,3.6,3085,90
108,서울,2020-05-10,7.1,250,1534,4.1,250,1556,2.5,2183,250
108,서울,2020-05-11,10.1,250,1424,5.6,290,1456,3,2622,250
108,서울,2020-05-12,12.2,230,1641,5.4,320,1907,2.9,2531,250
108,서울,2020-05-13,12.1,290,1304,6.5,290,1613,2.8,2459,270
108,서울,2020-05-14,6.9,290,1352,4.3,340,1557,2,1685,90
108,서울,2020-05-15,13.2,160,425,5.3,180,432,3,2629,90
